Title,Author,Date,Number of Responses,Content
Ideas to help with osteoarthritis in my neck,jwr,2021-01-22T13:04:31+0000,0,"This week is not good, but surviving! I have osteoarthritis in my neck badly and nothing can be done. Has anyone got any ideas for relief please?"
Questions,Rushdenboy,2021-01-20T17:08:21+0000,0,"I have a number of questions I would like to ask my Consultant  Psychiatrist or GP around my
Diagnosis but not sure if this would help me to come to terms with it the questions  would be how long do you think i have had Alzheimers
what brought it on is it heredity as some are suggesting could the fact that in the last ten years i worked a lot of 12 hour night shifts a that meant a lack of sleep  or a  cycling accident that I lost consciousness in and lost my spleen  questions  questions but No answers   or should i I just accept if and move on thanks for any help you wonderful people can give me"
This Time dementia ? you got t oh so wrong,Norrms,2020-09-16T09:28:28+0100,0,"THIS TIME DEMENTIA? YOU GOT IT OH SO WRONG !!



As I sat there in my chair mid-afternoon I had an incredible smell of soap powder (Washing powder they call it today ) filtering up my nostrils. I always joke with Elaine that I love Comfort on my clothing and can tell which is which by smelling my shirts but this was different, it was a very strong smell and one I recognised straight away and yet it was impossible???



I turned to see if Elaine was doing the washing but she was writing something down at the table and no washing machine was on (For a change LOL) Then I just sat back, sniffed once again, sat back, closed my eyes and I was transported back to my home town of Bolton, lancs UK, just off Seymour road actually and I was stood, once again outside of the ACDO washing powder factory. The smell was unmistakable and very comforting in a funny kind of way, because it was a part of my youth I remember so well. I used to deliver evening papers all around that area as a boy and have very happy memories of it, up and down Seymour road also doing the streets adjoining, running across Crompton way to Watermillock House (Now a Toby Inn) then back over through the streets by St Paul’s church and back to the shop on Blackburn road.



For just a few moments I was a boy again, for just a few moments I was so very happy, fit and nothing in the world to worry about. You see, now I have dementia, the Lewy body type, and have written about the awful things I see and hear which nobody else can, as well as the things I smell, but DEMENTIA?? BOY did you get it wrong this time I am happy to say, because the smell took me back to a place of safety, and a time when nothing could hurt me. I will never thank you for this Dementia as you have hurt me too many times, but I will smile for a very long time because you got it SO WRONG this time



Norrms Mc Namara aged 62



Diagnosed with Lewy Body’s Dementia



Please copy and paste and share away"
panic Attack whilst out shopping,Rushdenboy,2021-01-13T16:37:33+0000,0,help please today i went shopping on my own and had a panic attack for the first time ever don't know why because  have all way been able to follow a shopping list worried it will happen again help please
They said what ??,Norrms,2021-01-03T11:30:50+0000,0,"""You don't look like you have dementia he scoffed!!
You don't look stupid I replied, but HEY! There you go?"
Financial Issues,Hollp52,2021-01-15T11:27:27+0000,0,I have Dementia diagnosed in 2016. I am having financial difficulties   what help can I get? I find it hard to manage my money. I have no relatives. I worked but have lost my job.
Is dementia classed as vulnerable?,Jackmack,2020-03-25T19:23:24+0000,0,is  dementia classed as vulnerable
And yet i am still here,Norrms,2020-06-05T10:16:42+0100,0,"AND YET I AM STILL HERE
I am here, yet i am not,
I have been somewhere, yet only part of me has come back,
Frustration runs through my blood , where calmness used to be,
People say you are doing very well, so kind and appreciated, and yet, deep inside i weep, knowing my time is limited
On the outside, showing the world the smile,
Yet on the inside, raging and curled with fear of whats to come,
Dreading the late afternoon when confusion reigns,
Deeply fearing each and every night when the demons come to visit with relentless repetitiveness
Seeing things that you cannot see, or i would ever want you to see, or any other human being for that matter, the screams, the horrific visions that play out in front of my very eyes even though my eyes are sometimes closed
Wondering, worrying how long one persons brain can take such torment until they break completly.
Knowing one day i will go away and never come back, trapped in dementia`s  tormentous world.
Sometimes People only see what they want to see, i see many things i dont want to see,
On good days i sit here and write, mornings are my best time, yet on others i despair, head in hands not understanding what is going on around me
It comes at me in waves but with no warning, slamming into me until all around me is misty and foggy, seeing only grotesque shapes all around me,
Yet i am still here?
Yet i am still me?
I dont feel like me sometimes, i question all i say and do, my days are filled with uncertainty and dread
Yet here i am, apparently?
i am still here, i am still fighting
Norrms , 5th June 2020
plz share or copy and paste"
confidence,Rushdenboy,2020-11-25T17:06:11+0000,0,"Help please  since my diagnosis 3 weeks ago my confidence is as low as it can get virtually gone and this is  getting me down  a lot 
as a worship leader in the Methodist church (VOLUNTARY)  and local elected Councillor  this is very important to me have been used to public speaking  for most of my life and my confidence as always been high  has any one on here  lost theirs  any advice  people can give Will be greatly appreciated thank you 
 and keep safe 
HANDS FACE SPACE 
DAVE 
Rushden boy"
The Does and the Don’ts,NotTooLate,2020-04-26T12:14:23+0100,0,"As I’ve read post, it became clear that there is a divide often between those that want to know the diagnosis and those that don’t. 
It does seem to be divided by which position you are in. If you are the Carer, then you seem to want a diagnosis to verify what you’ve been saying all along and then there is the one that is showing the signs, that really do not want to be told! 

I would ask, what is the benefit of knowing? I’m not sure if this means you can claim benefits that will help in the care, but other than that, there does seem very little to be gained. I am talking from the position of have been told I have dementia, so as you may expect, my view is slightly biased.

It is also clear to me that both those looking after and those being looked after, know that there is a problem and what the problems are related to. Often it seems the moment those problems first start to manifest themselves are also quite marked. 

Having just read this post, ‘Spotting the early signs of dementia: What’s the point.’ I’m still at a loss to know why anyone would want to know, unless there is something that can be done to change the course of it!?

It does state that recently a number of trials testing new treatments for dementia have failed, but they believe it might be because they are looking a people in which the condition has gone too far!?

Firstly, billions have been put into research to find a treatment and none have proven any benefit as a cure! Secondly, why does the system still insist on delaying any testing and assessments for people that first raise concerns. It seems to be that by the time a diagnosis is given, for many, the prognosis is 99% an end game!?

The research states that changes in the brain associated with dementia my begin up to fifteen years before the symptoms begin. Apparently if they could detect these people, they could start testing more treatments. 

My questions: 

Where has this 15 year figure come from, because if you do a bit of research yourself, this figure changes? 

What treatments are they talking about, the same treatments they are using now, in the hope that using them earlier will solve the problem?

What are the treatments for and what is the hope?

They talk of looking for triggers that lead to dementia developing, but this is not an original idea. This has been a question since dementia research begun! 

Where is the research into the history of people with dementia, what happened before the signs, looking at medical records and accounts that may seem to have no direct connection, such as bereavement and depression?

They talk of novel ways to diagnose dementia, but they don’t say what they are looking for?

Simple blood test to detect what?

AI to understand the impact of tau and amyloid plaques affect nerve cells. An area that has still no proven causal link to dementia.

VR to help assess memory and behavioural problems. Should try asking the people involved, the demented and the carers!?

GameChanger and using smartphones to look at an idea called healthy ageing. I though ageing didn’t play a part, or am I reading the wrong research papers?

The biggest resource that is used the least…. the carers and the cared for! When will these people be seen as the solution to the problems, rather than just the problem, the lab rats and research as just something to complete a degree, master, or doctorate?

It is surely obvious to most by now, that dementia is not something we catch! There is a cause, it starts early for most. 

If research stays with the same dogmatic framework, progress will continue to be slow, or as so far, none existent! Millions and Billions wasted!  In the meantime, millions around the world are given little or no hope and for those that are oblivious, they are hoping  to be bringing you the bad news soon!  

You may be asking why am I so worried about this and the answer is simple, I'm one of those sent home to die, without hope, in an uncertain manner, lost, alone and scared! While people play with their games and blood test. If you was me, what would you do?"
Having a really difficult time,Blownaway,2020-12-07T20:16:21+0000,0,"Hey all, diagnosed with early onset Vascular Dementia in September, lam 60. Having a really difficult time and would like to chat"
Who cares ??,Norrms,2020-12-20T11:21:03+0000,0,""""" Who cares if i cant remember yesterday, as long as today is ok that's all that matters """"

Norrms xxxxxxxx"
coming to terms with Dementia,Rushdenboy,2020-11-17T16:26:07+0000,0,I got my Diagnosis on the 2 November this year so not quite 2 weeks ago finding it hard to to come to terms with the fact that i have got it
Self Diagnosis,WJG,2020-09-17T11:52:49+0100,0,"For some time I've believed that difficulties I'm facing (apathy, lack of empathy, loss of humour, emotional flat-effect) are due to some form of neurological issue. This view was dismissed by psychiatrists in another part of the country ,  as I was told that if I had dementia I would by definition not score well on cognitive tests. So no further tests were done.

I have now moved, and as a result of renewed discussion with a different Mental Health Team have had a CT scan. As I detail in another post, this has led to me being forwards for a SPECT  scan. I continue to sail through cognitive tests, although I feel that I am struggling a bit more with some intellectual tasks than I once did.

I now have in writing the results of the CT scan from the Consultant Radiologist: 'Opinion: Moderate generalised frontal predominant cortical atrophy'

I am being urged not to jump to the conclusion that this (together with my symptoms)means I have early frontotemporal dementia. But anything I read online - only from reputable sources - suggests to me that this is probably the case.  Which scares me, to be frank. 

Am I catastrophising, or just putting 2 and 2 together to make 4?"
Neurogenesis - a bit of Hope!?,NotTooLate,2020-05-04T15:17:25+0100,0,"In 1928 a professor Ramon Cajal claimed that in the brain the nerve paths are something fixed, ended, immutable. Everything may die, nothing may be regenerated. He believed that where all other cells in the body regenerate, the brain cells, were unique in the fact that they did not renew!

This has been followed and believed ever since, that is until recently and now research has proven that brain cells do regenerate and this is called, Neurogenesis.

What the researchers discovered was that within each of our brains there exists a population of neural stem cells which are continually replenished and can differentiate into brain neurones. Simply stated, we are all experiencing brain stem cell therapy every moment of our lives.

As you might expect, the process of neurogenesis is controlled by our DNA. A key role in creating new neurones is a specific gene which appears to control the production of a particular protein. This protein is given the amazing title of a brain-derived neurotrophic factor (BDNF) Studies reveal that there is decreased BDNF in Alzheimer’s patients, as well as in a variety of neurological conditions including epilepsy, depression, schizophrenia and obsessive-compulsive disorder.

So, this sounds interesting and hopeful, but it gets better. Many of the factors that influence the DNA code/trigger to produce BDNF are affected by our chosen life style. Most are already well known, diet, health and fitness.

Some Myths and Truths 

Truth: The brain keeps growing new brain cells your entire life. This process of neurogenesis is how the brain upgrades itself and enhances your quality of life.

Myth: Your brain stops growing in your early twenties. After that you only lose brain cells.

Myth: Ageing means cognitive decline and memory loss; after middle age life is just one gradual downhill slide into decrepitude. 

Truth: There is great variation in people’s rate of neurogenesis.

Truth: Your rate of neurogenesis is tied to the quality of your life.

Truth: You can increase your rate of neurogenesis by three to five times at all ages, young, middle aged and old. You can operate at a higher level of brain function in your twenties and thirties, in middle age as well your sixties, seventies and beyond.

Myth: Your genes determine how you age and how long your brain stays sharp.

Myth: You reach your mental peak in your twenties and thirties. Nothing can be done to make you sharper once you’re middle aged or beyond.

Myth: Depression is a biological illness caused by low serotonin levels. It requires lifelong SSRI drugs to treat it.

Truth: You can operate at a higher level than ever before believed possible. At any age you can be smarter,, remember more, be more vibrant, alive, free of depression, and resistant to stress. When you increase your rate of neurogenesis, the potential of your brain is unknown, but the potential is increased! 

To be able to increase Neurogenesis is to improve your entire life, how you think, feel, function and act. I believe that more than this, it may help to slow, stop, or even reverse the signs and symptoms of dementia. 

All my related Dementia Post

Stay Safe and Keep Well!
Richard"
"I might have frontotemporal dementia, but I might have something else",WJG,2020-09-15T12:16:32+0100,0,"I'm in the unusual position of seemingly being the only person who thinks I have frontotemporal dementia - whereas other people seem (at this stage) to think I have depression, or other psychiatric difficulties. So I'm keen to try and work out what the real problem is.

I know that people with FTD are generally unaware of their difficulties, whereas I know that my personality has changed. I have gone from being a lively extrovert person to someone who wants to hide from the world, who suffers a lot from apathy and who seems to have lost both my sense of empathy and my sense of humour.

I have had a CT scan that shows 'a degree of atrophy' to my frontal lobes. I have had cognitive tests that show no detriment. I am on a waiting list for a SPECT scan (tests have been arranged by a consultant psychiatrist).

For my part, I'm not sure how I can adequately explain why I think I have bvFTD other than by saying I don't feel I have any control over my feelings of Anhedonia etc.. And I'm convinced that talking therapies such as CBD would now mean nothing to me. I also have a sense of things slowly but steadily getting worse.

But people point out that:1. I am aware of changes to me 2. I don't have obsessive behaviours 3. I don't have problems with behaviours that transcend social norms 4.I show no signs at all of cognitive impairment. So, it is suggested, the problem is probably one of Depression and/or other psychiatric difficulties. 

Can anyone suggest please what any useful next steps might be for me to try and sort out what's going on? Is there anywhere that I could refer myself to?"
Thankyou,WJG,2020-09-15T12:59:43+0100,0,"I just want to see Thankyou to the folk behind this forum and all participants. In a couple of days it's helped me learn an enormous amount, that has been tremendously helpful."
Living with dementia during a pandemic,PeteMid,2020-08-23T12:16:59+0100,0,"I've just updated my blog with a short article on my experience of living with dementia during the Covid19 era.
You can read it here:
https://www.livingwithdementia.online/post/musing-on-events-during-the-covid-19-epidemic"
Hanging on to normal,Tomsnan,2020-08-13T20:58:03+0100,0,"I don't post often on here but do read.  I have Alzheimer's, live alone with my cat and usually rumble along some good days other bad days  I have my son and his family living close and they are a good support to me. But the last 2 or 3 days I don't know what has gone wrong.  I can't seem to figure out how to do the simplest of things even getting a cup of tea is beyond me where's the kettle or the water and where do i put the tea bag type of thing I,
m stumbling from one thing to another and i'm so angry and frustrated with myself.  i had a plate in my hand but couldn't think where to put it and i'm so frightened.  usually i manage most things get a bit muddled up and can't remember things but i've never been frightened about it before.  it's as though all the bad things with dementia have got me panicked but i can't do anything differently. if i cant get a grip on this then where does it go from here.  it's not like me to be so defeated"
What is it like to live with dementia?,PeteMid,2020-05-27T15:34:14+0100,0,"Well, I reckon I'm in a good place to know, because that's exactly what I do day to day.
So, I decided to write a Blog, recording my journey and making people aware that you can live well with dementia.

You can find the Blog here.  I'd love to get some discussion going in the comments, so please have a look.

You can find it here:

Living With Dementia Blog"
Hello!,pdeblanche,2020-08-09T10:28:10+0100,0,"I'm new. I'm trying to find my may around so if I post in the wrong place I'll try fix it but be patient. I'm 48 years old and was diagnosed 6 months ago with early onset frontotemporal dimentia. I have lost many things so far, my job being the most recent. I feel lost sometimes.  If someone else feels lost, I get it."
Financial services,Papa60,2020-08-04T15:17:01+0100,0,"I would appreciate some help..
I have Mixed Dementia. My Father has Dementia and I was wondering if he is able to receive any benefits.  He worked until he was 65yrs old then retired. My Mother has also been retired for a long time. They are both in their 80's now and my Mother has mobility problems. They are fiercely independent people but are now having to depend on us "" Kids "" 
Just wondering if anybody could help."
Living well with dementia,dbrilyant,2020-07-11T17:06:57+0100,0,"I am in the fifth of the seven good years suggested on diagnosis.  During lockdown I have been learning German with Duolingo in preparation for an European holiday.  I have also been training for a sponsored walk, 13 miles in aid of Altzeimer's society.  I gather that when decline is slow initially it is fast at the end.  I hope so."
Confused and in need of help,Sut,2020-07-22T16:31:57+0100,0,"Hello friends


Please feel free to read and comment....

I feel I am in a very complicated situation due to the recent split from my partner and wondered if it would be possible to meet someone, where I could possibly try to explain the best I can, or outline of how its come about, and if there is any possible help in somehow finding accommodation or I go about it.

I split from from my partner on Saturday 18th July. The main reason being that both myself and my partner feel we no longer love each other and see no point in staying together any longer. We have been together for over 30 yrs and have 3 grown up children. We divorced 20 odd years ago, but got back together shortly afterwards. We never remarried and had been happy enough because of it .. until now that is.

Although we have managed to stay together for this many years, it was mainly only because of our children.

Unfortunately, we let our eldest son stay with us recently because we were worried about his well being ( drugs and drink). At first..  he was a pleasure to have around and was being very helpful, as well as finding work for himself almost immediately. Unfortunately that all changed after a simple argument between him and me that simply spiralled out of control by his long term resentment towards me. I thought it could have been going over the top, but on reflection my outburst  of a few chosen words where nothing compared to the abusive outburst I recieved in reply. He is 31years old, very fit, strong and healthy and knows I am no longer able to chastise or challenge if you know what I mean.,. in other words I fear for my safety by staying there any longer. I have been recently diagnosed with PPA -Primary Progressive Aphasia ( 3 or 4 months ago ) - which to me as a layman, is a very rare form of Alzheimer’s . I have finally accepted that I have this disease after not really accepting until now, where the symptoms are slowly becoming more obvious to me.. Hopefully I will try to care for myself from now and listen more to the experts,.. whom I have not taken note from the offset..  I also suffer from epilepsy, but has been well controlled with the help of tablets.
My major problem now finding accommodation for myself.

We have just moved home from living in Devon for 20 yrs to Dorset only a few months ago, thinking life would be better in a new county to more or less enjoy our retirement together but I know that that is not going to be the case no longer.

I was born and bred in Normanton in West Yorkshire but as I say I have lived in the West Country for 30 years or so and what I now called home.  I have now had to return back to my roots for family support and to where I will be staying until I can find accommodation for myself and to start afresh. My sisters are in their 70s and I feel I am imposing by staying there. I have the best sisters in the world.. all five of them and I dont want to impose to long.

As I say..this is very complicated for me to explain and wondered if there is any help that would be availiable if or I could make a possible appointment to see a advisor to discuss my future.

I find it hard to answer simple questions because of my condition, (but I can) I simply find it easier to text, where I can sit and think more slowly and clearly before replying orally.

Many thanks ... Sut"
Dementia Together magazine,MAQ,2020-06-10T21:46:05+0100,0,"Hello everyone
I am new here.  Please read my story in the magazine and give feedback.
Many Thanks."
QT4C Week 4  - Now this one is different!,NotTooLate,2020-05-04T12:46:35+0100,0,"Question Time For Carers

Last week's question didn't get many responses, so I thought I would give you something different.

As I’ve mentioned before, a lot of research is going into trying to diagnose dementia, before the signs and symptoms ever start to appear. 

This Week’s Question

If  someone was told, results showed that they would most likely develop dementia in later life, 
what would you tell them to do now?

Stay Safe and Keep Well!
Richard"
Telly in The Other Room,NotTooLate,2020-05-04T13:36:43+0100,0,"I see, hear and feel things all the time, but most of these things I think are in my head. A big problem is that now I no longer have Finn to help me know when something is real, or not, it seems that other things have started.


I can now hear the telly in the other room. You have most likely experience this for yourself. You are in the other room, but you can hear those soft, muted and muffled voices. You cannot quite make out what is being said, but your brain tells you it’s the telly, or the radio. Well that is what I hear, but it happens in every room I’m in! I cannot go into the room and turn the telly off, because it isn’t on!



What I’m doing now is turning the telly on and turning the sound up. This way I’m hearing the telly and as I go from one room to the other, the telly is still that constant. When I turn the telly off, the telly in the other room starts.



Ideas and suggestion please?



I’m taking Risperidone for this, but not sure if having any effect and stuck being unable to stop taking it!

Telly in The Other Room

Stay Safe and Keep Well!
Richard"
Question Time for Carers... Week 2...Only 1 Question?,NotTooLate,2020-04-20T15:14:19+0100,0,"Last week I got 15 amazing replies and this gave me a lot to think about! 

All were extremely well stated and informative. It was obvious that these were people with a lot of first hand knowledge regarding all things related to dementia.

What did disappoint, a bit, was that there were over 870 people that viewed this post!

This week I’m going to try again, but only with one question. 

This will be based on the main findings of last week’s questions. 

This Week’s Question:

Did you, or the person you cared for, or are caring for, have some significant event prior to the first signs, or symptoms of dementia being noticed?’ 

Yes, or No?

If you would like to add the information about the nature of the event, I would be grateful!

Such as:

Stroke
Seizure
Fall
Blow to the head
Accident
loss of a loved one
Illness
Heart Attack
Mental illness
Drugs issue
Drink issue
Depression

or anything else that you think may be related?



Thank you for your time!

Stay Safe and Keep Well!

Richard"
Question Time for Carers... Week 3...Only 1 Question?,NotTooLate,2020-04-29T11:17:19+0100,0,"I’m continuing with the same theme of possible related events,  leading to later onset of dementia. We have looked at key events prior to the onset of dementia, now we will look a lot further back, maybe decades.

I’ve been reading about research into devising ways to determine if someone can be tested for dementia, before the signs, or symptoms show. This seems to be all on the premise that the possible causes of dementia may have started years and possibly decades before any symptoms were noted.

We have all heard of the well known footballers and boxers that have developed later dementia. It seems obvious that continually heading a ball, or being punched, will damage the brain. However, there is no definitive proof that this is true. The cause of the original injury has long gone and only the onset of dementia remains. Often there seems to be no related cause.

In my case, doing a bit of research into my medical records and drawing a history line of my health life, it seems that an insect bite, that caused a major allergic reaction, that impacted heavy on my immune system, does seem to be the start of all my problems and leading to this final diagnosis of dementia. Now at the time, I was given treatment, which I believe was antihistamines. I was in France when this happened. I never recovered fully, but I was able to get on with my life. Later a doctor suggested a Lyme disease test be carried out. No positive results. The doctor then explained, ‘It is like a hit-and-run accident. Whatever caused the damage has gone and only the damage remains!’

This change my viewpoint dramatically. I had always thought I would find the cause and then be able to treat it, but now I realise I can only live with the damage.

This week’s question:

Looking back as far as you can, try to trace the significant things that happened ie, did they do anything that may have caused brain injury, such as sports, did they have any major illness, measles etc, any accident, fall or car crash, etc.

We all had knocks, bumps, coughs and colds, but it is that thing that had a major impact on that person's life, that I'm looking for and only you can evaluate that?

Question: If the person with dementia, had any significant event many years ago, please, briefly state the event and how many years before the person was diagnosed?  

Examples:    Car accident that caused head injury.  22 years 
                          Lyme disease.   31 years

If there is no significant event throughout their life, just start, None

Many thanks for taking part!

Stay Safe and Keep Well!

Richard"
Moving the Post?,NotTooLate,2020-04-29T16:16:31+0100,0,"How do I move post from one forum to another?

I realised that some post seem to miss being seen, so might be better trying in the, Tea Room for instance, but how do I do this?

The new post do appear on the right, but due to there being only a small number of post and these are being overwritten, any current link is soon lost.

Stay safe and keep well!

Richard"
Question Time for Carers,NotTooLate,2020-04-13T15:35:49+0100,0,"I’ve been trying to find other fellow sufferers of dementia, to share our experiences in hope that together we can do something positive about it.

However, I’m not having much success, yet, but I will keep trying. So, while I continue on this task, I realised that there is another avenue to explore in regard to all things dementia related and that is of course Carers.

Carers’ have a unique and extensive knowledge, based on first hand experience. I’m hoping you will help me by sharing that knowledge and expertise. On this forum alone, there are over 64 thousand registered members and together with my own findings, evidence suggest that the majority of those registered are Carers. This means that a far greater pool of knowledge exist here,  than any I would hope to find related directly to people sufferering first hand with dementia.

This is how I would like you to help;

Each week I will produce a small set of questions. I wish to keep the number of questions low, so I can focus on a theme for the questions and avoid the drudgery of that tedious batch of questions that jump from one theme to another. Hopefully by doing it this way, you are more likely to be willing to contribute. I’m hoping that, because it will only require a  very short amount of your time to respond, a large group will be happy and keen to get involved and the higher the response the greater the related outcome.

I will require no names, or any personal information. The answers given will be based solely on trust. I don’t see that anyone in the roll of a Carer, or patient, would want to falsify answers. I was told that to give any value to the information I gained, I would need to verify the source of that information. This is true if I was taking an academic path, but I’m not. This is purely for the benefit of sharing collated information to those that could hopefully benefit from it ie, those that have a direct, or indirect connection with  some form of dementia, now and in the even those to come in the future. I think it is important to accept your sincerity and give value to the answers you give and think they deserve.

As the answers to the questions arrive, I will collate  the findings and keep you informed of the progress and outcome. I want people to be aware of the results and maybe make conclusions based on those findings, plus raise concerns, ideas and suggestions, that will lead to further questions that can be set here at a future date. In this way I see the information and findings developing as we progress, rather that setting out to answer a singualr question.

I hope that you will to accept my explanation and will happily take part. I’m excited to see how the response and method develops. If you have any ideas, suggestions, possible questions, then I would be truly grateful to receive them?

Please note: It is obvious that the response of a Carer, may be different to that of anyone with dementia, so I would ask that I start each week’s questions by asking you to say if you are a Carer, or have dementia.

The questions relate to the person being cared for, or the person with dementia.

Please try and keep your anwsers concise as possible.

Below are this week’s questions.

Are you, or have you been a Carer, or do you have Dementia?

1.  What is the name of the Dementia?

2.  What was the first signs, or symptoms you noticed?

3.  How many years ago did you first notice these signs, or symptoms?"
"Is it the Effect, or Affect?",NotTooLate,2020-04-26T06:52:22+0100,0,"I use Pages on Mac to write everything. Pages is just a text editor, a souped-up typewriter. It can help with how things look and the layout, just to make sure it looks nice, but more, it helps me to keep check of my spelling and my grammar. This is vital and a big, big help for me today. However, I do still get things wrong, but I have friends who do the proofreading and  double check that what I write, makes sense. Believe me, what I write often does not make sense, even to me when I read it back, but that is why I redraft over and over.

I’ve started to read and record myself. This seems to help with my writing. As I read the words on the screen I will become aware that it doesn’t flow, it doesn’t make sense, there are too many words, or words are missing. If you have a similar problem, then this may be something you could try.

Now, what I’m getting back again and again, are two words that I’m getting mixed up all the time. The words are, Effect and Affect! I thought  I knew the difference, but realised that when I’m writing, I get a block with these words. I’m sure that like me you have those moments too? You are writing away and then you stop and for a second think?… How do I spell that?…. and maybe you look into space for the Divine intervention! Well I don’t know the difference between the two words. I did, but I’ve forgotten it. So, I am going to try and relearn this. I want to know if this is possible, or is it too late and I’ve gone passed a point of return?

I’m going to try this over the next few days and see how it goes with my future writing and, if I remember, I will tell you how I get on. You will of course have to take my word on it!

It these two words cause you a bit of a problem too, then you could start by checking this out….
Affect, or Effect... a brief introduction"
Doesn't Do it Anymore!,NotTooLate,2020-04-25T17:20:41+0100,0,"I used to enjoy a nice cup of coffee. It always gave me that little lift, but now, nothing! I can drink coffee at bedtime and drop off without any problem at all.


What is going on? Does coffee stimulate a particular part of the brain and is that particular part of my brain, now being effected by whatever is causing my dementia?


I suppose it could just be a case of becoming used to it. Coffee is a stimulant and like all stimulants, we can become accustomed to the dose. The brain becomes used to it and the amount of coffee we take becomes normalised. We can mentally and physically feel this loss and then start to craze for a cup of coffee. We then require more and more, to have the same impact!?


It could be I’ve gone off coffee!


Has anyone else noticed this?

All my Blog post are here....."
Just too many people!,NotTooLate,2020-04-25T17:17:38+0100,0,"A strange thing that I live with and affects my life daily, is the number of people around me. I cannot cope with too many people, I just start to panic out of control!

The first time I can recall this happening was in a supermarket. I had joined a queue and the queue continued to develop behind me. The sensation of being closed in started to overtake me. A wave of panic washed through me, like a physical thing. I can remember staring at the floor, trying to blot this crazy feeling out of me. I did know that it was irrational, but my body didn’t seem to agree and I was losing control. The more I tried to put it aside, the worse it got. The effort of trying to shut it out was having the opposite effect. I was getting swept away by this cycle of fear.

As I sat in the car, feeling such an idiot, trying to explain to myself why I had rushed out of the shop leaving everything.
This has been a continual problem and is, I think, similar to being claustrophobic, something I also seem to suffer from now and something I’ve never had a problem with. It feels as if I’m being closed in by people, trapped. This does sound completely ridiculous and now, sitting here writing this, I have to agree, but as I’m thinking about more people around, I’m starting to feel that panic welling up in the pit of my stomach.

Usually this is only a problem when they are close, but last Thursday it seemed to be developing into something more. I put my, NHS flag out and waited for eight o’clock. I started to open the back gate and saw people in the street, just waiting to I assumed, but I could feel this thing. It made it impossible for me to go out. Quickly closing the gate, I returned to the back garden and loudly rang my bell. It was as if I was trying to drown out the panic, the racing heart, the pounding head.

This only seemed to really go when I was finally back inside and everywhere was locked and I felt secure.

I know this is happening and the mere thought of situations that mean I will be with others, like appointments, or shopping etc, makes me start to panic. As set times get closer, the intensity of problems start to become more extreme. It is better for me to just not get in this situation. Being with one or two that I know can help. I seem to be able to focus on them, but it is when that focus is interrupted that the problems start.

I’ve been mainly on my own now for a long time and seem to be able to cope well, with no real problems with a few, but when more people close in, I find it terrifying! The problem with this is my reaction. I loose control and snap, becoming violent and verbally aggressive. This is another part of my changing personality, that I don’t think is me. It is certainly something that I detest, so do everything I can to avoid this situation ever happening.

I’m not sure if this is getting worse, but I am at a loss of how to beat it!

All my Blog Post are here..."
It comes down to this...,NotTooLate,2020-04-06T11:39:55+0100,0,"How many are out there and like me, living with dementia independently, feeling alone and how many would like the chance to share ideas, thoughts, findings, suggestions and help build a support for those that have mild and moderate symptoms now, plus for those that will someday, the figures show, will be seeing the signs.



I think it comes down to awareness. If you are like me and well aware of this thing slowly and insidiously eating away at you, then I think you are able to do something about it. It is with you that I want to share and spread hope for all of us living with dementia.



How do I start a campaign how do I promote this idea, who can help?

My Blog"
It's Good to Smile!,NotTooLate,2020-04-20T15:18:15+0100,0,
How Do I Write!?,NotTooLate,2020-04-15T16:40:18+0100,0,"I recieved an email, not too long ago and I was asked how I manage to write and why sometimes I don’t seem to reply straight away?

My first comment was, why do you think I cannot write? but it is obvious, we all know what he means; Dementia means you have lost it, gone, cuckoo and everything is impossible now! Well, it’s not true! Dementia does not mean the end of you, it just means we may have to do things a little bit different now, but I think that is the same for all of us as we get older!?

So, now to let you into my secret, I don’t reply directly. I have to copy your post and paste it into, Pages, the Mac text editor. I then start to compose an answer. This then requires redrafting a few times, until I’m happy that it is making sense.

I have a tendency to miss a lot of words. My brain obviously works faster than my hands. Spelling and grammar are the next things, but great, Pages has a built in checker for both. Depending on the length of the reply, or my blog post, because this is done in the same manner, except, I just start with ideas and thoughts written down, it takes me a morning, or afternoon session to complete, so that is about 2,3, or 4 hours. Then it is ready to post!

I find this method good for me and it isn’t new, I’ve always written in this way, it just a bit harder now  and needs a bit more attention and help to complete correctly!

The physical method of typing and the mental effort of going through this whole process is good for keeping my brain active, or that is what I believe. If you don’t use it you lose it! This applies to many things.

So, I apologise if I don’t reply straight away, but I am working on it!

I do have a tendency to go on a bit sometimes, but that is not new either!

Please comment anytime and don’t worry about offending me, I’m thick skinned!

I’m here for me and if along the way I can help anyone else, then that is a big bonus!

Here is my blog if you ever fancy a read...Living With Dementia!

I've just noticed the link to my blog, in the signature below, is now working too! So you can get to my blog post by just clicking on that link. To the person that sorted this out...  Thank You!"
